date,day_of_week,month,quarter,is_weekend,is_holiday,holiday_type,season,day_of_year,week_of_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end
2023-01-01,6,1,1,1,1,New_Year,Winter,1,1,1,0,1,0
2023-01-02,0,1,1,0,0,None,Winter,2,1,0,0,0,0
2023-01-03,1,1,1,0,0,None,Winter,3,1,0,0,0,0
2023-01-04,2,1,1,0,0,None,Winter,4,1,0,0,0,0
2023-01-05,3,1,1,0,0,None,Winter,5,1,0,0,0,0
2023-01-06,4,1,1,0,0,None,Winter,6,1,0,0,0,0
2023-01-07,5,1,1,1,0,None,Winter,7,1,0,0,0,0
2023-01-08,6,1,1,1,0,None,Winter,8,2,0,0,0,0
2023-01-09,0,1,1,0,0,None,Winter,9,2,0,0,0,0
2023-01-10,1,1,1,0,0,None,Winter,10,2,0,0,0,0


